15 15	
	 5.35921769700971e-05 -1.72014869693052e-05 -1.72010323420728e-05 -4.48444188413065e-07 -2.58903521801214e-07 2.29438745247854e-13 -7.0084593942755e-08 4.05803934207591e-08 -2.34305948678015e-08 -8.57253210513604e-09 -4.94923692554272e-09 6.2782194418949e-14 2.35670909112123e-09 -6.67062903573096e-09 3.85148068235996e-09
	 -1.72014869693052e-05 5.35921666079205e-05 -1.72007227550516e-05 4.48441577965057e-07 -2.58904295220364e-07 -2.1512336711682e-12 -7.0084829060631e-08 -4.05815504915816e-08 -2.34293778739665e-08 8.57203727609453e-09 -4.95012923623532e-09 3.00514658728656e-14 2.35724480005248e-09 6.67103325136599e-09 3.85093737249789e-09
	 -1.72010323420728e-05 -1.72007227550516e-05 5.35921002986338e-05 3.89552183417277e-12 5.17810498643086e-07 -5.24935089163029e-13 -7.00857834724862e-08 1.27476888129019e-12 4.68603600431707e-08 5.87320297760164e-14 9.89838091150628e-09 3.63263230275965e-14 2.35797304191792e-09 -2.33647856640181e-13 -7.70290968344253e-09
	 -4.48444188413065e-07 4.48441577965057e-07 3.89552183417277e-12 6.16352730779232e-09 1.42133821010053e-14 -2.40182578200435e-14 -6.64334434498565e-16 -3.2468427988339e-10 7.27908140898587e-15 2.50809242991338e-10 -8.96402262117958e-15 3.366810038594e-16 2.52895855674693e-15 9.10315468275129e-11 -5.17156864675845e-15
	 -2.58903521801214e-07 -2.58904295220364e-07 5.17810498643086e-07 1.42133821010053e-14 6.16343948664264e-09 8.39433045160105e-15 -4.17316389942584e-15 1.01124605586842e-14 3.2469380137819e-10 4.29904044625778e-15 2.50816568088918e-10 -6.89522094605714e-16 4.7021720557842e-15 -3.34332062350059e-15 -9.10274766037279e-11
	 2.29438745247854e-13 -2.1512336711682e-12 -5.24935089163029e-13 -2.40182578200435e-14 8.39433045160105e-15 5.37844843350671e-10 5.00251483074846e-15 -5.16560671526456e-15 -2.46761341566186e-15 1.52695933145935e-16 1.16288976239873e-16 1.06979307984275e-10 -3.64038470462259e-15 1.61579693050711e-16 4.50349813372099e-16
	 -7.0084593942755e-08 -7.0084829060631e-08 -7.00857834724862e-08 -6.64334434498565e-16 -4.17316389942584e-15 5.00251483074846e-15 9.11574057404137e-10 -1.21377074559837e-16 -1.17021718647277e-15 7.66256503961222e-16 2.18432774592755e-15 -7.21486709631154e-17 2.66059330232586e-11 -4.35934565545446e-16 1.25163252326954e-15
	 4.05803934207591e-08 -4.05815504915816e-08 1.27476888129019e-12 -3.2468427988339e-10 1.01124605586842e-14 -5.16560671526456e-15 -1.21377074559837e-16 2.6690371424572e-10 3.40253444005732e-16 3.26328554564977e-11 -2.07738519897893e-15 1.02514612595235e-16 -1.37603480208874e-16 3.22627446358833e-11 -1.23971904589302e-15
	 -2.34305948678015e-08 -2.34293778739665e-08 4.68603600431707e-08 7.27908140898587e-15 3.2469380137819e-10 -2.46761341566186e-15 -1.17021718647277e-15 3.40253444005732e-16 2.66905279228976e-10 -9.22612440291461e-16 -3.26356982294596e-11 1.41326062774879e-16 9.34935458179137e-16 5.08947031250381e-16 3.22609556005313e-11
	 -8.57253210513604e-09 8.57203727609453e-09 5.87320297760164e-14 2.50809242991338e-10 4.29904044625778e-15 1.52695933145935e-16 7.66256503961222e-16 3.26328554564977e-11 -9.22612440291461e-16 1.40340572381292e-10 -7.8665132590467e-18 2.72225232307717e-17 -6.41634697616668e-16 -4.49855461219794e-12 1.37083968300457e-17
	 -4.94923692554272e-09 -4.95012923623532e-09 9.89838091150628e-09 -8.96402262117958e-15 2.50816568088918e-10 1.16288976239873e-16 2.18432774592755e-15 -2.07738519897893e-15 -3.26356982294596e-11 -7.8665132590467e-18 1.40341379956646e-10 -7.81438768566783e-18 -1.56374156411826e-15 2.00425224866424e-16 4.49918710350126e-12
	 6.2782194418949e-14 3.00514658728656e-14 3.63263230275965e-14 3.366810038594e-16 -6.89522094605714e-16 1.06979307984275e-10 -7.21486709631154e-17 1.02514612595235e-16 1.41326062774879e-16 2.72225232307717e-17 -7.81438768566783e-18 8.25350230041997e-11 9.24929114478566e-17 -1.04076795609447e-17 -1.81216470262169e-17
	 2.35670909112123e-09 2.35724480005248e-09 2.35797304191792e-09 2.52895855674693e-15 4.7021720557842e-15 -3.64038470462259e-15 2.66059330232586e-11 -1.37603480208874e-16 9.34935458179137e-16 -6.41634697616668e-16 -1.56374156411826e-15 9.24929114478566e-17 9.0888890781388e-11 3.75006466096499e-16 -9.33072410349306e-16
	 -6.67062903573096e-09 6.67103325136599e-09 -2.33647856640181e-13 9.10315468275129e-11 -3.34332062350059e-15 1.61579693050711e-16 -4.35934565545446e-16 3.22627446358833e-11 5.08947031250381e-16 -4.49855461219794e-12 2.00425224866424e-16 -1.04076795609447e-17 3.75006466096499e-16 5.92856959934393e-11 8.88173819512829e-17
	 3.85148068235996e-09 3.85093737249789e-09 -7.70290968344253e-09 -5.17156864675845e-15 -9.10274766037279e-11 4.50349813372099e-16 1.25163252326954e-15 -1.23971904589302e-15 3.22609556005313e-11 1.37083968300457e-17 4.49918710350126e-12 -1.81216470262169e-17 -9.33072410349306e-16 8.88173819512829e-17 5.92861860574742e-11
	
